               T                       Ex                     Ey                     Hx                     Hy                      Hz                      dEx/dt                      dEy/dt                      dHx/dt                      dHy/dt                      dHz/dt
     0.15848931798246D-03     0.14235220217751D-04     0.00000000000000D+00     0.00000000000000D+00     -.53415667645039D-03     0.70673396731314D-03     -.49878724019602D-05     0.00000000000000D+00     0.00000000000000D+00     -.32169206001762D+00     0.31799941201176D-01
     0.19952622824349D-03     0.14235391841493D-04     0.00000000000000D+00     0.00000000000000D+00     -.52172655183561D-03     0.70543073732104D-03     -.18319400769565D-05     0.00000000000000D+00     0.00000000000000D+00     -.28615306431131D+00     0.31729644743430D-01
     0.25118864141405D-03     0.14235353912799D-04     0.00000000000000D+00     0.00000000000000D+00     -.50781021099031D-03     0.70379322011377D-03     0.26119788949738D-05     0.00000000000000D+00     0.00000000000000D+00     -.25441411042081D+00     0.31700753717335D-01
     0.31622775713913D-03     0.14235228375497D-04     0.00000000000000D+00     0.00000000000000D+00     -.49223834012221D-03     0.70173035071828D-03     0.84225790741989D-06     0.00000000000000D+00     0.00000000000000D+00     -.22605984306746D+00     0.31755913194587D-01
     0.39810716407374D-03     0.14235305055732D-04     0.00000000000000D+00     0.00000000000000D+00     -.47482636171172D-03     0.69912940253634D-03     -.17289128287384D-05     0.00000000000000D+00     0.00000000000000D+00     -.20069828368239D+00     0.31778548687614D-01
     0.50118722720072D-03     0.14235466124053D-04     0.00000000000000D+00     0.00000000000000D+00     -.45537573032738D-03     0.69585669714382D-03     -.57293570295113D-06     0.00000000000000D+00     0.00000000000000D+00     -.17798628163130D+00     0.31734700625138D-01
     0.63095736550167D-03     0.14235436255270D-04     0.00000000000000D+00     0.00000000000000D+00     -.43367431745037D-03     0.69174153416323D-03     0.10406282315991D-05     0.00000000000000D+00     0.00000000000000D+00     -.15763172624200D+00     0.31716675189301D-01
     0.79432822531089D-03     0.14235319812617D-04     0.00000000000000D+00     0.00000000000000D+00     -.40949843212718D-03     0.68655867578773D-03     0.50123156809953D-06     0.00000000000000D+00     0.00000000000000D+00     -.13936540907657D+00     0.31751348848707D-01
     0.10000000474975D-02     0.14235361952987D-04     0.00000000000000D+00     0.00000000000000D+00     -.38261968885032D-03     0.68002755677598D-03     -.36292528426332D-06     0.00000000000000D+00     0.00000000000000D+00     -.12293183117257D+00     0.31765765224283D-01
     0.12589254183695D-02     0.14235507968837D-04     0.00000000000000D+00     0.00000000000000D+00     -.35281609012665D-03     0.67180791658878D-03     -.29498582261933D-06     0.00000000000000D+00     0.00000000000000D+00     -.10810240297509D+00     0.31738479925035D-01
     0.15848932089284D-02     0.14235626040145D-04     0.00000000000000D+00     0.00000000000000D+00     -.31988707771641D-03     0.66146781554133D-03     -.11721639593082D-06     0.00000000000000D+00     0.00000000000000D+00     -.94672843628575D-01     0.31726028363338D-01
     0.19952622242272D-02     0.14235729874900D-04     0.00000000000000D+00     0.00000000000000D+00     -.28367986909202D-03     0.64844777521494D-03     -.48149208609556D-08     0.00000000000000D+00     0.00000000000000D+00     -.82445780323704D-01     0.31744896419058D-01
     0.25118864141405D-02     0.14235678654710D-04     0.00000000000000D+00     0.00000000000000D+00     -.24413678635729D-03     0.63204790961394D-03     0.70333857500605D-06     0.00000000000000D+00     0.00000000000000D+00     -.71220095225211D-01     0.31751308534300D-01
     0.31622776295990D-02     0.14234363492652D-04     0.00000000000000D+00     0.00000000000000D+00     -.20137955758765D-03     0.61141060053233D-03     0.45690403786690D-05     0.00000000000000D+00     0.00000000000000D+00     -.60773975839747D-01     0.31714794247071D-01
     0.39810715243220D-02     0.14225088909982D-04     0.00000000000000D+00     0.00000000000000D+00     -.15586410950938D-03     0.58549536690371D-03     0.21130100707116D-04     0.00000000000000D+00     0.00000000000000D+00     -.50850440718235D-01     0.31572706089434D-01
     0.50118723884225D-02     0.14182721400724D-04     0.00000000000000D+00     0.00000000000000D+00     -.10861927600478D-03     0.55316949561788D-03     0.65326081499352D-04     0.00000000000000D+00     0.00000000000000D+00     -.41225028286503D-01     0.31088367964942D-01
     0.63095735386014D-02     0.14048960094004D-04     0.00000000000000D+00     0.00000000000000D+00     -.61461932705282D-04     0.51355626505883D-03     0.14314812494524D-03     0.00000000000000D+00     0.00000000000000D+00     -.31872645736473D-01     0.29861642189230D-01
     0.79432819038630D-02     0.13734016925027D-04     0.00000000000000D+00     0.00000000000000D+00     -.16957481296816D-04     0.46657468254436D-03     0.23981450049815D-03     0.00000000000000D+00     0.00000000000000D+00     -.23079645387114D-01     0.27556996231828D-01
     0.99999997764826D-02     0.13144949242556D-04     0.00000000000000D+00     0.00000000000000D+00     0.22027959396418D-04     0.41338004981137D-03     0.32547398347394D-03     0.00000000000000D+00     0.00000000000000D+00     -.15348038560222D-01     0.24142318980673D-01
     0.12589254416525D-01     0.12228772037292D-04     0.00000000000000D+00     0.00000000000000D+00     0.53061621518764D-04     0.35640484953863D-03     0.37268229386703D-03     0.00000000000000D+00     0.00000000000000D+00     -.91414602971197D-02     0.19947438822466D-01
     0.15848932787776D-01     0.11004440323913D-04     0.00000000000000D+00     0.00000000000000D+00     0.74811809585983D-04     0.29889484943345D-03     0.37082829713363D-03     0.00000000000000D+00     0.00000000000000D+00     -.46608724161598D-02     0.15525436910881D-01
     0.19952623173594D-01     0.95625944024508D-05     0.00000000000000D+00     0.00000000000000D+00     0.87318176990379D-04     0.24412237387463D-03     0.32836882450912D-03     0.00000000000000D+00     0.00000000000000D+00     -.17868457742162D-02     0.11421577446543D-01
     0.25118865072727D-01     0.80337367830648D-05     0.00000000000000D+00     0.00000000000000D+00     0.91785194639575D-04     0.19465742973489D-03     0.26418689022156D-03     0.00000000000000D+00     0.00000000000000D+00     -.17971042392861D-03     0.79928706596391D-02
     0.31622774899006D-01     0.65459940842488D-05     0.00000000000000D+00     0.00000000000000D+00     0.90080426308483D-04     0.15200030406619D-03     0.19670431265747D-03     0.00000000000000D+00     0.00000000000000D+00     0.56535561210571D-03     0.53612186587949D-02
     0.39810717105865D-01     0.51947296381918D-05     0.00000000000000D+00     0.00000000000000D+00     0.84207683143727D-04     0.11660707997786D-03     0.13772880976745D-03     0.00000000000000D+00     0.00000000000000D+00     0.80080193360936D-03     0.34727672199614D-02
     0.50118722021580D-01     0.40324554357085D-05     0.00000000000000D+00     0.00000000000000D+00     0.75939182335565D-04     0.88150143180914D-04     0.91912472750795D-04     0.00000000000000D+00     0.00000000000000D+00     0.77809768210393D-03     0.21872696501880D-02
     0.63095733523369D-01     0.30742774415588D-05     0.00000000000000D+00     0.00000000000000D+00     0.66647341341653D-04     0.65838629920529D-04     0.59098558984718D-04     0.00000000000000D+00     0.00000000000000D+00     0.65119915012076D-03     0.13472873245084D-02
     0.79432822763920D-01     0.23098718475665D-05     0.00000000000000D+00     0.00000000000000D+00     0.57285540465355D-04     0.48690987300605D-04     0.36926677044836D-04     0.00000000000000D+00     0.00000000000000D+00     0.50201527629632D-03     0.81540259817215D-03
     0.10000000149012D+00     0.17153103195772D-05     0.00000000000000D+00     0.00000000000000D+00     0.48448301091408D-04     0.35719157093986D-04     0.22569519432581D-04     0.00000000000000D+00     0.00000000000000D+00     0.36738109833738D-03     0.48664565540170D-03
     0.12589253485203D+00     0.12618288775715D-05     0.00000000000000D+00     0.00000000000000D+00     0.40458258291053D-04     0.26029502429999D-04     0.13561201214668D-04     0.00000000000000D+00     0.00000000000000D+00     0.25944965639942D-03     0.28722019045248D-03
     0.15848931670189D+00     0.92118156155954D-06     0.00000000000000D+00     0.00000000000000D+00     0.33449864170645D-04     0.18864466406093D-04     0.80411069569406D-05     0.00000000000000D+00     0.00000000000000D+00     0.17860491232093D-03     0.16801843029429D-03
     0.19952623546124D+00     0.66833032790346D-06     0.00000000000000D+00     0.00000000000000D+00     0.27437249521204D-04     0.13609238217139D-04     0.47187870254916D-05     0.00000000000000D+00     0.00000000000000D+00     0.12064932365185D-03     0.97590668433660D-04
     0.25118863582611D+00     0.48240886652215D-06     0.00000000000000D+00     0.00000000000000D+00     0.22363972109490D-04     0.97801640105300D-05     0.27466768496795D-05     0.00000000000000D+00     0.00000000000000D+00     0.80346504683271D-04     0.56359804296134D-04
     0.31622776389122D+00     0.34672345243018D-06     0.00000000000000D+00     0.00000000000000D+00     0.18137253497367D-04     0.70052903169475D-05     0.15885435159815D-05     0.00000000000000D+00     0.00000000000000D+00     0.52927709321916D-04     0.32398673798943D-04
     0.39810717105865D+00     0.24829550573876D-06     0.00000000000000D+00     0.00000000000000D+00     0.14650249878122D-04     0.50033098031837D-05     0.91411031999255D-06     0.00000000000000D+00     0.00000000000000D+00     0.34574852916899D-04     0.18556438331073D-04
     0.50118720531464D+00     0.17724250166276D-06     0.00000000000000D+00     0.00000000000000D+00     0.11795527024008D-04     0.35642273702210D-05     0.52394047925922D-06     0.00000000000000D+00     0.00000000000000D+00     0.22440426953035D-04     0.10597747904687D-04
     0.63095736503601D+00     0.12615558804793D-06     0.00000000000000D+00     0.00000000000000D+00     0.94725253899448D-05     0.25329376172875D-05     0.29938963058205D-06     0.00000000000000D+00     0.00000000000000D+00     0.14492851970794D-04     0.60388953704200D-05
     0.79432821273804D+00     0.89545886285248D-07     0.00000000000000D+00     0.00000000000000D+00     0.75912129741669D-05     0.17958183490496D-05     0.17068153459136D-06     0.00000000000000D+00     0.00000000000000D+00     0.93252006111518D-05     0.34352881075428D-05
     0.10000000000000D+01     0.63384328078162D-07     0.00000000000000D+00     0.00000000000000D+00     0.60733649679447D-05     0.12701556464728D-05     0.97141803742740D-07     0.00000000000000D+00     0.00000000000000D+00     0.59837379567312D-05     0.19518773037367D-05
